time,omega_R,omega_L,u,omega,x,y,psi
0.013,8.3775,-2.2848,0.304635,2.665575,0.0,0.0,0.0
0.1301,7.0683,0.0915,0.35799000000000003,1.7442000000000002,0.0356727585,0.031213883249999998,0.3121388325
0.2106,5.9269,1.5972,0.376205,1.082425,0.05878656726691671,0.053426144566681155,0.45254693250000005
0.3106,5.1135,2.4625,0.3788,0.6627500000000001,0.08788706613428604,0.07961063184412723,0.5607894325
0.4145,4.5689,2.9364,0.375265,0.40812500000000007,0.11755390424522433,0.10637430071355797,0.6296491575000001
0.51,4.2045,3.1832,0.3693850000000001,0.25532500000000014,0.14422410247372522,0.13062796455841993,0.6686250950000001
0.6099,3.9526,3.2986,0.36256,0.16349999999999998,0.17159862835955236,0.155504994678089,0.6941320625000001
0.7103,3.7692,3.3369,0.355305,0.10807500000000005,0.19852666764605878,0.18005310869942565,0.7105474625000001
0.8095,3.6271,3.3296,0.347835,0.07437499999999997,0.22454422407726052,0.2038550986656781,0.7212685025000001
0.9194,3.51,3.2947,0.34023500000000007,0.0538249999999999,0.25271180651565384,0.22971170371892496,0.7294423150000001
1.0169,3.4079,3.243,0.33254500000000004,0.04122500000000007,0.27709399415703906,0.25221118055802005,0.7346902525000001
1.111,3.315,3.1809,0.324795,0.03352500000000003,0.3000541703614013,0.2734761842589055,0.7385695250000001
1.21,3.2278,3.1123,0.317005,0.028874999999999984,0.32360695595934574,0.2953691397506794,0.7418885000000001
1.3103,3.1441,3.0397,0.30919,0.026100000000000012,0.34685078955343174,0.31706633662422756,0.7447846625000001
1.4109,3.0627,2.9648,0.301375,0.024475000000000025,0.3695419112276516,0.3383424436282427,0.7474103225000001
1.5112,2.9829,2.8885,0.29357,0.023599999999999958,0.39154575729638924,0.3590696652174465,0.7498651650000001
1.6108,2.9042,2.8115,0.285785,0.023174999999999942,0.41278251374887,0.3791696154025672,0.7522157250000001
1.7107,2.8265,2.7344,0.27804500000000004,0.023024999999999962,0.4334708158743966,0.3988456356688502,0.7545309075000001
1.8111,2.7497,2.6574,0.270355,0.023074999999999957,0.45365167068104967,0.41813485158758446,0.7568426175
1.9106,2.6738,2.581,0.26274,0.0232,0.4730507615726159,0.43677232291882395,0.75913858
2.0101,2.5988,2.5052,0.25520000000000004,0.023400000000000087,0.4918565021083735,0.45493366960138754,0.76144698
2.1115,2.5246,2.4302,0.24774000000000004,0.023599999999999958,0.510423757760957,0.4729599542332849,0.76381974
2.21,2.4515,2.3563,0.24039000000000002,0.023799999999999932,0.5278863558751271,0.49000660617631125,0.76614434
2.31,2.3795,2.2835,0.23315000000000002,0.02400000000000002,0.5450435839927247,0.5068458368095891,0.76852434
2.4108,2.3086,2.2119,0.22602500000000003,0.024175000000000058,0.5617715471547153,0.5233550831899628,0.77094354
2.51,2.2389,2.1416,0.219025,0.02432500000000004,0.5776864692898622,0.5391507946069413,0.7733417
2.6101,2.1705,2.0726,0.212155,0.024475000000000025,0.5932050543548761,0.5546398950173825,0.7757766325000001
2.7104,2.1034,2.0051,0.20542500000000002,0.024575000000000014,0.6082238506268788,0.5697163036356688,0.7782314750000001
2.8098,2.0376,1.9391,0.198835,0.024624999999999952,0.6225940558634151,0.5842250057950541,0.7806742300000001
2.9103,1.9733,1.8746,0.192395,0.024675000000000002,0.6366165368205828,0.5984639757924511,0.7831490425000002
3.0099,1.9104,1.8116,0.18610000000000004,0.0247,0.6500235520312658,0.6121576005315204,0.7856066725000002
3.1104,1.8489,1.7502,0.179955,0.024675000000000002,0.6630702824363036,0.6255609033206088,0.7880890225000001
3.2103,1.789,1.6904,0.17397,0.024650000000000005,0.6755732730382152,0.638480913301576,0.7905540550000001
3.3107,1.7305,1.6321,0.16813,0.024599999999999955,0.6876842739124103,0.6510692651995484,0.7930289150000001
3.4102,1.6735,1.5755,0.16244999999999998,0.024500000000000025,0.6992484143256869,0.6631600813460766,0.795476615
3.515,1.6181,1.5204,0.156925,0.02442500000000003,0.7109814232770512,0.6754988365386561,0.798044215
3.6113,1.5642,1.467,0.15156000000000003,0.02429999999999999,0.7213627409765373,0.6864830256045409,0.8003963425
3.7109,1.5118,1.415,0.14634,0.024200000000000003,0.7317018109135368,0.6974845067308254,0.8028166225000001
3.8105,1.4608,1.3647,0.141275,0.02402500000000002,0.7416537661183247,0.7081363063366299,0.8052269425
3.9102,1.4114,1.3159,0.13636500000000001,0.02387499999999998,0.751241317213221,0.7184574871437451,0.8076222350000001
4.0108,1.3634,1.2686,0.1316,0.0237,0.7605501085423918,0.7285369895029402,0.81002406
4.1105,1.3169,1.2227,0.12698,0.023550000000000015,0.7694253128645475,0.7382031482954446,0.81238695
4.211,1.2718,1.1784,0.12251,0.023350000000000037,0.7780304411243095,0.7476298874396108,0.8147537250000001
4.3104,1.2281,1.1355,0.11818000000000001,0.023150000000000004,0.7862159164009321,0.7566489353140615,0.8170747150000001
4.4098,1.1857,1.0939,0.11398000000000003,0.02294999999999997,0.7940873374106574,0.7653717704504401,0.8193758250000001
4.5108,1.1447,1.0538,0.10992500000000001,0.022724999999999995,0.8017769292050474,0.7739420441029016,0.8216937750000001
4.6111,1.1051,1.015,0.106005,0.022525000000000017,0.8091181645888335,0.7821712220706888,0.8239730925000001
4.7108,1.0667,0.9775,0.10221000000000001,0.022299999999999986,0.816132792950041,0.7900796233333844,0.826218835
4.8112,1.0296,0.9413,0.09854500000000001,0.02207500000000001,0.822922228841,0.7977776718613998,0.8284577550000001
