t,omega_R,omega_L,u,omega
0.013,8.3775,-2.2848,0.304635,2.665575
0.1301,7.0683,0.0915,0.35799000000000003,1.7442000000000002
0.2106,5.9269,1.5972,0.376205,1.082425
0.3106,5.1135,2.4625,0.3788,0.6627500000000001
0.4145,4.5689,2.9364,0.375265,0.40812500000000007
0.51,4.2045,3.1832,0.3693850000000001,0.25532500000000014
0.6099,3.9526,3.2986,0.36256,0.16349999999999998
0.7103,3.7692,3.3369,0.355305,0.10807500000000005
0.8095,3.6271,3.3296,0.347835,0.07437499999999997
0.9194,3.51,3.2947,0.34023500000000007,0.0538249999999999
1.0169,3.4079,3.243,0.33254500000000004,0.04122500000000007
1.111,3.315,3.1809,0.324795,0.03352500000000003
1.21,3.2278,3.1123,0.317005,0.028874999999999984
1.3103,3.1441,3.0397,0.30919,0.026100000000000012
1.4109,3.0627,2.9648,0.301375,0.024475000000000025
1.5112,2.9829,2.8885,0.29357,0.023599999999999958
1.6108,2.9042,2.8115,0.285785,0.023174999999999942
1.7107,2.8265,2.7344,0.27804500000000004,0.023024999999999962
1.8111,2.7497,2.6574,0.270355,0.023074999999999957
1.9106,2.6738,2.581,0.26274,0.0232
2.0101,2.5988,2.5052,0.25520000000000004,0.023400000000000087
2.1115,2.5246,2.4302,0.24774000000000004,0.023599999999999958
2.21,2.4515,2.3563,0.24039000000000002,0.023799999999999932
2.31,2.3795,2.2835,0.23315000000000002,0.02400000000000002
2.4108,2.3086,2.2119,0.22602500000000003,0.024175000000000058
2.51,2.2389,2.1416,0.219025,0.02432500000000004
2.6101,2.1705,2.0726,0.212155,0.024475000000000025
2.7104,2.1034,2.0051,0.20542500000000002,0.024575000000000014
2.8098,2.0376,1.9391,0.198835,0.024624999999999952
2.9103,1.9733,1.8746,0.192395,0.024675000000000002
3.0099,1.9104,1.8116,0.18610000000000004,0.0247
3.1104,1.8489,1.7502,0.179955,0.024675000000000002
3.2103,1.789,1.6904,0.17397,0.024650000000000005
3.3107,1.7305,1.6321,0.16813,0.024599999999999955
3.4102,1.6735,1.5755,0.16244999999999998,0.024500000000000025
3.515,1.6181,1.5204,0.156925,0.02442500000000003
3.6113,1.5642,1.467,0.15156000000000003,0.02429999999999999
3.7109,1.5118,1.415,0.14634,0.024200000000000003
3.8105,1.4608,1.3647,0.141275,0.02402500000000002
3.9102,1.4114,1.3159,0.13636500000000001,0.02387499999999998
