t,omega_R,omega_L,u,omega,x,y,psi
0.013,8.3775,-2.2848,0.304635,2.665575,0.0,0.0,0.0
0.1301,7.0683,0.0915,0.35799,1.7442000000000002,0.0356727585,0.031213883249999998,0.3121388325
0.2106,5.9269,1.5972,0.376205,1.082425,0.058786567266916695,0.053426144566681155,0.45254693250000005
0.3106,5.1135,2.4625,0.3788,0.6627500000000001,0.08788706613428603,0.07961063184412723,0.5607894325
0.4145,4.5689,2.9364,0.375265,0.408125,0.1175539042452243,0.10637430071355797,0.6296491575000001
0.51,4.2045,3.1832,0.3693850000000001,0.2553250000000001,0.1442241024737252,0.13062796455841993,0.6686250950000001
0.6099,3.9526,3.2986,0.36256,0.1634999999999999,0.17159862835955236,0.155504994678089,0.6941320625000001
0.7103,3.7692,3.3369,0.355305,0.108075,0.19852666764605878,0.18005310869942562,0.7105474625000001
0.8095,3.6271,3.3296,0.347835,0.0743749999999999,0.22454422407726052,0.20385509866567808,0.7212685025000001
0.9194,3.51,3.2947,0.340235,0.0538249999999999,0.25271180651565384,0.22971170371892494,0.729442315
1.0169,3.4079,3.243,0.332545,0.041225,0.27709399415703906,0.25221118055802,0.7346902525
1.111,3.315,3.1809,0.324795,0.033525,0.3000541703614013,0.2734761842589054,0.738569525
1.21,3.2278,3.1123,0.317005,0.0288749999999999,0.32360695595934574,0.2953691397506793,0.7418885
1.3103,3.1441,3.0397,0.30919,0.0261,0.34685078955343174,0.31706633662422745,0.7447846625
1.4109,3.0627,2.9648,0.301375,0.024475,0.3695419112276516,0.33834244362824256,0.7474103225
1.5112,2.9829,2.8885,0.29357,0.0235999999999999,0.39154575729638924,0.3590696652174464,0.749865165
1.6108,2.9042,2.8115,0.285785,0.0231749999999999,0.41278251374887,0.3791696154025671,0.752215725
1.7107,2.8265,2.7344,0.278045,0.0230249999999999,0.4334708158743966,0.39884563566885,0.7545309075
1.8111,2.7497,2.6574,0.270355,0.0230749999999999,0.45365167068104967,0.4181348515875843,0.7568426174999999
1.9106,2.6738,2.581,0.26274,0.0232,0.4730507615726159,0.4367723229188238,0.7591385799999999
2.0101,2.5988,2.5052,0.2552,0.0234,0.4918565021083735,0.45493366960138737,0.7614469799999999
2.1115,2.5246,2.4302,0.24774,0.0235999999999999,0.510423757760957,0.4729599542332847,0.7638197399999999
2.21,2.4515,2.3563,0.24039,0.0237999999999999,0.5278863558751271,0.49000660617631103,0.7661443399999999
2.31,2.3795,2.2835,0.23315,0.024,0.5450435839927247,0.5068458368095887,0.7685243399999998
2.4108,2.3086,2.2119,0.226025,0.024175,0.5617715471547153,0.5233550831899625,0.7709435399999998
2.51,2.2389,2.1416,0.219025,0.024325,0.5776864692898622,0.5391507946069409,0.7733416999999998
2.6101,2.1705,2.0726,0.212155,0.024475,0.5932050543548761,0.5546398950173822,0.7757766324999998
2.7104,2.1034,2.0051,0.205425,0.024575,0.6082238506268788,0.5697163036356685,0.7782314749999998
2.8098,2.0376,1.9391,0.198835,0.0246249999999999,0.6225940558634151,0.5842250057950538,0.7806742299999998
2.9103,1.9733,1.8746,0.192395,0.024675,0.6366165368205828,0.5984639757924508,0.7831490424999998
3.0099,1.9104,1.8116,0.1861,0.0247,0.6500235520312658,0.61215760053152,0.7856066724999998
3.1104,1.8489,1.7502,0.179955,0.024675,0.6630702824363036,0.6255609033206084,0.7880890224999998
3.2103,1.789,1.6904,0.17397,0.02465,0.6755732730382152,0.6384809133015756,0.7905540549999998
3.3107,1.7305,1.6321,0.16813,0.0245999999999999,0.6876842739124103,0.6510692651995481,0.7930289149999997
3.4102,1.6735,1.5755,0.1624499999999999,0.0245,0.6992484143256869,0.6631600813460763,0.7954766149999997
3.515,1.6181,1.5204,0.156925,0.024425,0.7109814232770512,0.6754988365386557,0.7980442149999997
3.6113,1.5642,1.467,0.15156,0.0242999999999999,0.7213627409765373,0.6864830256045406,0.8003963424999997
3.7109,1.5118,1.415,0.14634,0.0242,0.7317018109135368,0.6974845067308251,0.8028166224999996
3.8105,1.4608,1.3647,0.141275,0.024025,0.7416537661183247,0.7081363063366296,0.8052269424999996
3.9102,1.4114,1.3159,0.136365,0.0238749999999999,0.751241317213221,0.7184574871437448,0.8076222349999996
4.0108,1.3634,1.2686,0.1316,0.0237,0.7605501085423918,0.7285369895029399,0.8100240599999996
4.1105,1.3169,1.2227,0.12698,0.02355,0.7694253128645475,0.7382031482954443,0.8123869499999996
4.211,1.2718,1.1784,0.12251,0.02335,0.7780304411243095,0.7476298874396105,0.8147537249999997
4.3104,1.2281,1.1355,0.11818,0.02315,0.7862159164009321,0.7566489353140612,0.8170747149999996
4.4098,1.1857,1.0939,0.11398,0.0229499999999999,0.7940873374106574,0.7653717704504398,0.8193758249999996
